"YEAR","COUNT","First(JURISDICTION)"
2008,1887,"ACT"
2008,4563,"TAS"
2008,9460,"NT"
2008,10467,"SA"
2008,14532,"WA"
2008,19190,"VIC"
2008,26975,"QLD"
2008,27368,"NSW"
2009,1628,"ACT"
2009,5120,"TAS"
2009,10954,"SA"
2009,10990,"NT"
2009,13039,"WA"
2009,18246,"VIC"
2009,26595,"NSW"
2009,32696,"QLD"
2010,1447,"ACT"
2010,3895,"TAS"
2010,10172,"SA"
2010,10842,"NT"
2010,11595,"WA"
2010,16297,"VIC"
2010,24411,"NSW"
2010,33638,"QLD"
2011,1488,"ACT"
2011,3527,"TAS"
2011,8914,"NT"
2011,10034,"SA"
2011,10644,"WA"
2011,13925,"VIC"
2011,22117,"NSW"
2011,27264,"QLD"
2012,1418,"ACT"
2012,2916,"TAS"
2012,9267,"SA"
2012,9332,"NT"
2012,9737,"WA"
2012,13033,"VIC"
2012,19982,"NSW"
2012,25320,"QLD"
2013,1399,"ACT"
2013,2782,"TAS"
2013,8636,"WA"
2013,8890,"SA"
2013,11442,"VIC"
2013,12395,"NT"
2013,20193,"NSW"
2013,25291,"QLD"
2014,1267,"ACT"
2014,2585,"TAS"
2014,8154,"SA"
2014,11034,"WA"
2014,12062,"VIC"
2014,13562,"NT"
2014,19531,"NSW"
2014,23023,"QLD"
2015,1134,"ACT"
2015,2327,"TAS"
2015,8208,"SA"
2015,9315,"VIC"
2015,10071,"WA"
2015,14192,"NT"
2015,18750,"NSW"
2015,20357,"QLD"
2016,1005,"ACT"
2016,2322,"TAS"
2016,5155,"SA"
2016,7571,"NT"
2016,8912,"WA"
2016,10337,"VIC"
2016,17442,"NSW"
2016,18673,"QLD"
2017,1057,"ACT"
2017,2070,"TAS"
2017,6007,"SA"
2017,7846,"NT"
2017,9062,"WA"
2017,9969,"VIC"
2017,16489,"QLD"
2017,18022,"NSW"
2018,1114,"ACT"
2018,1723,"TAS"
2018,4997,"SA"
2018,7025,"VIC"
2018,7550,"WA"
2018,7672,"NT"
2018,16773,"QLD"
2018,17989,"NSW"
2019,933,"ACT"
2019,1805,"TAS"
2019,4985,"SA"
2019,6878,"WA"
2019,7775,"NT"
2019,9235,"VIC"
2019,16685,"QLD"
2019,17084,"NSW"
2020,888,"ACT"
2020,4400,"SA"
2020,4976,"VIC"
2020,7362,"NT"
2020,7510,"WA"
2020,13540,"NSW"
2020,16060,"QLD"
2021,767,"ACT"
2021,4062,"SA"
2021,5492,"NT"
2021,6363,"VIC"
2021,7417,"WA"
2021,12980,"NSW"
2021,16402,"QLD"
2022,847,"ACT"
2022,4556,"SA"
2022,5120,"NT"
2022,7331,"WA"
2022,8280,"VIC"
2022,15794,"NSW"
2022,17007,"QLD"
2023,0,"NT"
2023,1,"ACT"
2023,2,"NSW"
2023,3,"SA"
2023,4,"NSW"
2023,5,"NSW"
2023,6,"NSW"
2023,7,"NSW"
2023,8,"VIC"
2023,9,"VIC"
2023,10,"VIC"
2023,11,"VIC"
2023,12,"VIC"
2023,13,"VIC"
2023,14,"NSW"
2023,15,"ACT"
2023,16,"VIC"
2023,17,"VIC"
2023,18,"ACT"
2023,19,"NSW"
2023,20,"ACT"
2023,21,"NSW"
2023,22,"SA"
2023,23,"ACT"
2023,24,"VIC"
2023,25,"ACT"
2023,26,"ACT"
2023,27,"ACT"
2023,28,"ACT"
2023,29,"NSW"
2023,30,"NSW"
2023,31,"NSW"
2023,32,"VIC"
2023,33,"WA"
2023,34,"NSW"
2023,35,"VIC"
2023,36,"ACT"
2023,37,"NSW"
2023,38,"NSW"
2023,39,"NSW"
2023,40,"WA"
2023,41,"VIC"
2023,44,"VIC"
2023,45,"NSW"
2023,46,"SA"
2023,47,"NSW"
2023,48,"VIC"
2023,49,"VIC"
2023,51,"NSW"
2023,52,"NSW"
2023,53,"VIC"
2023,54,"VIC"
2023,57,"VIC"
2023,58,"SA"
2023,59,"SA"
2023,60,"VIC"
2023,61,"SA"
2023,63,"VIC"
2023,65,"VIC"
2023,66,"VIC"
2023,67,"VIC"
2023,68,"VIC"
2023,70,"VIC"
2023,71,"VIC"
2023,72,"SA"
2023,73,"VIC"
2023,75,"VIC"
2023,76,"VIC"
2023,77,"VIC"
2023,78,"VIC"
2023,79,"SA"
2023,80,"VIC"
2023,82,"NSW"
2023,83,"VIC"
2023,84,"NSW"
2023,85,"NSW"
2023,87,"VIC"
2023,88,"NSW"
2023,90,"VIC"
2023,92,"VIC"
2023,94,"VIC"
2023,98,"VIC"
2023,100,"NSW"
2023,102,"NSW"
2023,103,"VIC"
2023,104,"NSW"
2023,105,"NSW"
2023,111,"SA"
2023,112,"SA"
2023,113,"SA"
2023,120,"SA"
2023,122,"SA"
2023,125,"SA"
2023,126,"NSW"
2023,127,"NSW"
2023,128,"SA"
2023,129,"NSW"
2023,130,"SA"
2023,131,"SA"
2023,132,"NSW"
2023,133,"NSW"
2023,136,"NSW"
2023,139,"NSW"
2023,140,"NSW"
2023,141,"SA"
2023,143,"NSW"
2023,144,"NSW"
2023,145,"NSW"
2023,147,"NSW"
2023,148,"NSW"
2023,149,"SA"
2023,151,"VIC"
2023,152,"SA"
2023,153,"NSW"
2023,155,"WA"
2023,156,"SA"
2023,157,"WA"
2023,158,"WA"
2023,160,"VIC"
2023,163,"NSW"
2023,164,"WA"
2023,166,"VIC"
2023,167,"NSW"
2023,168,"WA"
2023,170,"WA"
2023,171,"SA"
2023,172,"VIC"
2023,173,"WA"
2023,174,"VIC"
2023,176,"VIC"
2023,177,"VIC"
2023,178,"NSW"
2023,179,"VIC"
2023,183,"VIC"
2023,185,"NSW"
2023,186,"VIC"
2023,187,"VIC"
2023,188,"NSW"
2023,189,"VIC"
2023,190,"VIC"
2023,191,"NSW"
2023,192,"NSW"
2023,194,"VIC"
2023,195,"NSW"
2023,196,"WA"
2023,199,"WA"
2023,200,"WA"
2023,201,"VIC"
2023,204,"NSW"
2023,207,"NSW"
2023,208,"WA"
2023,209,"WA"
2023,211,"NSW"
2023,212,"NSW"
2023,214,"NSW"
2023,216,"WA"
2023,218,"NSW"
2023,219,"NSW"
2023,220,"WA"
2023,221,"NSW"
2023,226,"NSW"
2023,236,"NSW"
2023,238,"NSW"
2023,240,"WA"
2023,242,"WA"
2023,249,"WA"
2023,251,"WA"
2023,253,"WA"
2023,254,"WA"
2023,256,"NSW"
2023,259,"NSW"
2023,261,"NSW"
2023,263,"NSW"
2023,264,"WA"
2023,267,"WA"
2023,280,"WA"
2023,289,"NSW"
2023,300,"WA"
2023,301,"NSW"
2023,303,"WA"
2023,326,"NSW"
2023,328,"WA"
2023,500,"NT"
2023,501,"NT"
2023,539,"NT"
2023,543,"NT"
2023,559,"NT"
2023,561,"NT"
2023,595,"NT"
2023,613,"NT"
2023,683,"NT"
2023,785,"NT"
2023,798,"NT"
2023,1045,"NT"
2023,15859,"QLD"
2024,0,"NT"
2024,1,"VIC"
2024,2,"ACT"
2024,3,"NSW"
2024,4,"NSW"
2024,5,"NSW"
2024,6,"NSW"
2024,7,"VIC"
2024,8,"VIC"
2024,9,"NSW"
2024,10,"NSW"
2024,11,"NSW"
2024,12,"ACT"
2024,13,"VIC"
2024,14,"ACT"
2024,15,"NSW"
2024,16,"VIC"
2024,17,"VIC"
2024,18,"ACT"
2024,19,"NSW"
2024,20,"NSW"
2024,21,"SA"
2024,22,"ACT"
2024,23,"VIC"
2024,24,"ACT"
2024,25,"NSW"
2024,26,"NSW"
2024,27,"NSW"
2024,28,"SA"
2024,29,"WA"
2024,30,"NSW"
2024,31,"NSW"
2024,32,"SA"
2024,33,"NSW"
2024,34,"NSW"
2024,35,"VIC"
2024,36,"NSW"
2024,37,"SA"
2024,38,"NSW"
2024,39,"NSW"
2024,40,"NSW"
2024,41,"NSW"
2024,42,"VIC"
2024,45,"VIC"
2024,46,"VIC"
2024,53,"SA"
2024,55,"WA"
2024,56,"SA"
2024,57,"SA"
2024,58,"VIC"
2024,59,"VIC"
2024,60,"VIC"
2024,64,"SA"
2024,65,"VIC"
2024,67,"VIC"
2024,68,"SA"
2024,69,"VIC"
2024,70,"NSW"
2024,71,"NSW"
2024,72,"VIC"
2024,73,"SA"
2024,76,"SA"
2024,77,"VIC"
2024,78,"VIC"
2024,79,"VIC"
2024,81,"NSW"
2024,82,"NSW"
2024,83,"VIC"
2024,86,"SA"
2024,90,"VIC"
2024,92,"VIC"
2024,93,"VIC"
2024,95,"NSW"
2024,96,"VIC"
2024,98,"NSW"
2024,99,"VIC"
2024,100,"SA"
2024,104,"VIC"
2024,106,"NSW"
2024,107,"NSW"
2024,108,"SA"
2024,110,"SA"
2024,111,"NSW"
2024,114,"VIC"
2024,115,"NSW"
2024,116,"NSW"
2024,117,"NSW"
2024,120,"NSW"
2024,121,"NSW"
2024,122,"NSW"
2024,124,"VIC"
2024,125,"NSW"
2024,127,"SA"
2024,128,"NSW"
2024,129,"NSW"
2024,130,"NSW"
2024,131,"VIC"
2024,133,"SA"
2024,134,"NSW"
2024,135,"NSW"
2024,136,"NSW"
2024,137,"SA"
2024,138,"SA"
2024,139,"SA"
2024,141,"NSW"
2024,143,"NSW"
2024,146,"NSW"
2024,147,"VIC"
2024,148,"VIC"
2024,150,"VIC"
2024,152,"VIC"
2024,154,"SA"
2024,155,"VIC"
2024,157,"NSW"
2024,158,"SA"
2024,159,"VIC"
2024,163,"VIC"
2024,164,"VIC"
2024,165,"VIC"
2024,168,"SA"
2024,169,"WA"
2024,170,"NSW"
2024,171,"VIC"
2024,173,"NSW"
2024,174,"WA"
2024,176,"NSW"
2024,180,"NSW"
2024,181,"NSW"
2024,183,"NSW"
2024,184,"WA"
2024,185,"WA"
2024,191,"VIC"
2024,192,"NSW"
2024,193,"NSW"
2024,195,"WA"
2024,196,"NSW"
2024,200,"NSW"
2024,204,"VIC"
2024,205,"WA"
2024,207,"WA"
2024,209,"NSW"
2024,210,"WA"
2024,212,"WA"
2024,215,"NSW"
2024,224,"NSW"
2024,228,"NSW"
2024,229,"NSW"
2024,239,"NSW"
2024,240,"WA"
2024,244,"NSW"
2024,249,"NSW"
2024,254,"NSW"
2024,263,"WA"
2024,268,"WA"
2024,271,"NSW"
2024,275,"WA"
2024,277,"WA"
2024,278,"NSW"
2024,282,"WA"
2024,290,"WA"
2024,294,"WA"
2024,298,"WA"
2024,309,"WA"
2024,312,"WA"
2024,317,"WA"
2024,323,"WA"
2024,324,"WA"
2024,329,"WA"
2024,336,"WA"
2024,339,"NT"
2024,344,"WA"
2024,347,"WA"
2024,354,"WA"
2024,377,"WA"
2024,383,"WA"
2024,387,"WA"
2024,416,"NT"
2024,564,"NT"
2024,597,"NT"
2024,671,"NT"
2024,711,"NT"
2024,791,"NT"
2024,814,"NT"
2024,871,"NT"
2024,915,"NT"
2024,1000,"NT"
2024,1028,"NT"
2024,15336,"QLD"
